y_lo,y_hi,y_center,KmeanCharged_value,KmeanCharged_err,TwoK0S_value,TwoK0S_err
-3.0000,-2.9143,-2.9571,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.9143,-2.8286,-2.8714,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.8286,-2.7429,-2.7857,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.7429,-2.6571,-2.7000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.6571,-2.5714,-2.6143,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.5714,-2.4857,-2.5286,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.4857,-2.4000,-2.4429,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.4000,-2.3143,-2.3571,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.3143,-2.2286,-2.2714,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.2286,-2.1429,-2.1857,1.296296e-05,1.296296e-05,2.592593e-05,1.833240e-05
-2.1429,-2.0571,-2.1000,5.185185e-05,2.592593e-05,2.592593e-05,1.833240e-05
-2.0571,-1.9714,-2.0143,9.074074e-05,3.429678e-05,5.185185e-05,2.592593e-05
-1.9714,-1.8857,-1.9286,1.944444e-04,5.020534e-05,1.425926e-04,4.299328e-05
-1.8857,-1.8000,-1.8429,5.703704e-04,8.598657e-05,8.296296e-04,1.037037e-04
-1.8000,-1.7143,-1.7571,1.322222e-03,1.309195e-04,1.542593e-03,1.414092e-04
-1.7143,-1.6286,-1.6714,3.396296e-03,2.098239e-04,2.942593e-03,1.953067e-04
-1.6286,-1.5429,-1.5857,5.262963e-03,2.611965e-04,5.924074e-03,2.771165e-04
-1.5429,-1.4571,-1.5000,1.122593e-02,3.814725e-04,1.164074e-02,3.884565e-04
-1.4571,-1.3714,-1.4143,2.077963e-02,5.190044e-04,2.115556e-02,5.236780e-04
-1.3714,-1.2857,-1.3286,3.505185e-02,6.740741e-04,3.614074e-02,6.844641e-04
-1.2857,-1.2000,-1.2429,5.465185e-02,8.416947e-04,5.925370e-02,8.764152e-04
-1.2000,-1.1143,-1.1571,8.762963e-02,1.065805e-03,9.045556e-02,1.082854e-03
-1.1143,-1.0286,-1.0714,1.265185e-01,1.280646e-03,1.342574e-01,1.319232e-03
-1.0286,-0.9429,-0.9857,1.776444e-01,1.517497e-03,1.945093e-01,1.587897e-03
-0.9429,-0.8571,-0.9000,2.444296e-01,1.780037e-03,2.624352e-01,1.844434e-03
-0.8571,-0.7714,-0.8143,3.161019e-01,2.024257e-03,3.440370e-01,2.111810e-03
-0.7714,-0.6857,-0.7286,4.033426e-01,2.286595e-03,4.278815e-01,2.355125e-03
-0.6857,-0.6000,-0.6429,4.915037e-01,2.524152e-03,5.203722e-01,2.597223e-03
-0.6000,-0.5143,-0.5571,5.661963e-01,2.709166e-03,6.075611e-01,2.806384e-03
-0.5143,-0.4286,-0.4714,6.478370e-01,2.897911e-03,6.933630e-01,2.998006e-03
-0.4286,-0.3429,-0.3857,7.169426e-01,3.048557e-03,7.684833e-01,3.156235e-03
-0.3429,-0.2571,-0.3000,7.630259e-01,3.145008e-03,8.168741e-01,3.254091e-03
-0.2571,-0.1714,-0.2143,8.006185e-01,3.221551e-03,8.677407e-01,3.353877e-03
-0.1714,-0.0857,-0.1286,8.258315e-01,3.271884e-03,8.787981e-01,3.375178e-03
-0.0857,0.0000,-0.0429,8.376796e-01,3.295271e-03,8.897519e-01,3.396148e-03
0.0000,0.0857,0.0429,8.191685e-01,3.258658e-03,8.876259e-01,3.392088e-03
0.0857,0.1714,0.1286,7.877852e-01,3.195627e-03,8.540648e-01,3.327343e-03
0.1714,0.2571,0.2143,7.553519e-01,3.129153e-03,8.080593e-01,3.236486e-03
0.2571,0.3429,0.3000,7.072722e-01,3.027927e-03,7.592019e-01,3.137117e-03
0.3429,0.4286,0.3857,6.345111e-01,2.867951e-03,6.820722e-01,2.973496e-03
0.4286,0.5143,0.4714,5.526630e-01,2.676593e-03,6.056167e-01,2.801890e-03
0.5143,0.6000,0.5571,4.647222e-01,2.454420e-03,5.128407e-01,2.578359e-03
0.6000,0.6857,0.6429,3.947481e-01,2.262102e-03,4.258852e-01,2.349624e-03
0.6857,0.7714,0.7286,3.130426e-01,2.014438e-03,3.355333e-01,2.085547e-03
0.7714,0.8571,0.8143,2.429389e-01,1.774601e-03,2.598296e-01,1.835255e-03
0.8571,0.9429,0.9000,1.758815e-01,1.509949e-03,1.888574e-01,1.564657e-03
