y_lo,y_hi,y_center,K+,K-,K0S,R_K,R_K_err
-3.0000,-2.9143,-2.9571,0,0,0.000000e+00,,
-2.9143,-2.8286,-2.8714,0,0,0.000000e+00,,
-2.8286,-2.7429,-2.7857,0,0,0.000000e+00,,
-2.7429,-2.6571,-2.7000,0,0,0.000000e+00,,
-2.6571,-2.5714,-2.6143,0,0,0.000000e+00,,
-2.5714,-2.4857,-2.5286,0,0,0.000000e+00,,
-2.4857,-2.4000,-2.4429,0,0,0.000000e+00,,
-2.4000,-2.3143,-2.3571,0,0,0.000000e+00,,
-2.3143,-2.2286,-2.2714,0,0,0.000000e+00,,
-2.2286,-2.1429,-2.1857,1,0,1.000000e+00,5.000000e-01,6.123724e-01
-2.1429,-2.0571,-2.1000,3,1,1.000000e+00,2.000000e+00,1.732051e+00
-2.0571,-1.9714,-2.0143,7,0,2.000000e+00,1.750000e+00,1.096871e+00
-1.9714,-1.8857,-1.9286,13,2,5.500000e+00,1.363636e+00,5.413065e-01
-1.8857,-1.8000,-1.8429,43,1,3.200000e+01,6.875000e-01,1.346382e-01
-1.8000,-1.7143,-1.7571,96,6,5.950000e+01,8.571429e-01,1.156580e-01
-1.7143,-1.6286,-1.6714,245,17,1.135000e+02,1.154185e+00,1.046565e-01
-1.6286,-1.5429,-1.5857,381,25,2.285000e+02,8.884026e-01,6.058905e-02
-1.5429,-1.4571,-1.5000,815,51,4.490000e+02,9.643653e-01,4.592971e-02
-1.4571,-1.3714,-1.4143,1506,97,8.160000e+02,9.822304e-01,3.454011e-02
-1.3714,-1.2857,-1.3286,2556,148,1.394000e+03,9.698709e-01,2.617758e-02
-1.2857,-1.2000,-1.2429,4006,210,2.285500e+03,9.223365e-01,1.969490e-02
-1.2000,-1.1143,-1.1571,6403,357,3.489000e+03,9.687590e-01,1.653250e-02
-1.1143,-1.0286,-1.0714,9194,566,5.178500e+03,9.423578e-01,1.329400e-02
-1.0286,-0.9429,-0.9857,12973,731,7.502500e+03,9.132956e-01,1.079142e-02
-0.9429,-0.8571,-0.9000,17847,1009,1.012250e+04,9.313905e-01,9.426317e-03
-0.8571,-0.7714,-0.8143,23016,1369,1.327000e+04,9.188018e-01,8.150336e-03
-0.7714,-0.6857,-0.7286,29354,1761,1.650400e+04,9.426503e-01,7.448400e-03
-0.6857,-0.6000,-0.6429,35860,2056,2.007150e+04,9.445233e-01,6.764069e-03
-0.6000,-0.5143,-0.5571,41287,2391,2.343450e+04,9.319166e-01,6.197833e-03
-0.5143,-0.4286,-0.4714,47292,2684,2.674400e+04,9.343404e-01,5.812873e-03
-0.4286,-0.3429,-0.3857,52330,2977,2.964150e+04,9.329319e-01,5.515287e-03
-0.3429,-0.2571,-0.3000,55601,3261,3.150800e+04,9.340802e-01,5.354315e-03
-0.2571,-0.1714,-0.2143,58199,3563,3.347000e+04,9.226471e-01,5.147837e-03
-0.1714,-0.0857,-0.1286,60177,3530,3.389650e+04,9.397283e-01,5.185363e-03
-0.0857,0.0000,-0.0429,60896,3725,3.431900e+04,9.414756e-01,5.160457e-03
0.0000,0.0857,0.0429,59496,3697,3.423700e+04,9.228758e-01,5.090781e-03
0.0857,0.1714,0.1286,57310,3462,3.294250e+04,9.223951e-01,5.187840e-03
0.1714,0.2571,0.2143,54921,3349,3.116800e+04,9.347728e-01,5.386400e-03
0.2571,0.3429,0.3000,51508,3053,2.928350e+04,9.315997e-01,5.543024e-03
0.3429,0.4286,0.3857,46137,2811,2.630850e+04,9.302697e-01,5.841850e-03
0.4286,0.5143,0.4714,40202,2432,2.335950e+04,9.125623e-01,6.112126e-03
0.5143,0.6000,0.5571,33802,2048,1.978100e+04,9.061726e-01,6.607656e-03
0.6000,0.6857,0.6429,28744,1708,1.642700e+04,9.268887e-01,7.373063e-03
0.6857,0.7714,0.7286,22812,1337,1.294200e+04,9.329702e-01,8.347007e-03
0.7714,0.8571,0.8143,17654,1087,1.002200e+04,9.349930e-01,9.500614e-03
0.8571,0.9429,0.9000,12780,788,7.284500e+03,9.312925e-01,1.111098e-02
0.9429,1.0286,0.9857,8999,530,5.224500e+03,9.119533e-01,1.291777e-02
1.0286,1.1143,1.0714,6172,360,3.564500e+03,9.162575e-01,1.569356e-02
1.1143,1.2000,1.1571,4227,267,2.375000e+03,9.461053e-01,1.968820e-02
1.2000,1.2857,1.2429,2674,156,1.462500e+03,9.675214e-01,2.551098e-02
1.2857,1.3714,1.3286,1613,93,8.155000e+02,1.045984e+00,3.622319e-02
1.3714,1.4571,1.4143,853,54,4.600000e+02,9.858696e-01,4.613082e-02
1.4571,1.5429,1.5000,513,24,2.630000e+02,1.020913e+00,6.262895e-02
1.5429,1.6286,1.5857,251,6,1.485000e+02,8.653199e-01,7.372025e-02
1.6286,1.7143,1.6714,110,9,7.350000e+01,8.095238e-01,9.982477e-02
1.7143,1.8000,1.7571,49,4,3.350000e+01,7.910448e-01,1.454174e-01
1.8000,1.8857,1.8429,22,2,1.200000e+01,1.000000e+00,2.886751e-01
1.8857,1.9714,1.9286,6,0,8.000000e+00,3.750000e-01,1.795176e-01
1.9714,2.0571,2.0143,2,1,2.000000e+00,7.500000e-01,5.728220e-01
2.0571,2.1429,2.1000,0,0,5.000000e-01,0.000000e+00,0.000000e+00
2.1429,2.2286,2.1857,0,0,0.000000e+00,,
2.2286,2.3143,2.2714,0,0,0.000000e+00,,
2.3143,2.4000,2.3571,0,0,0.000000e+00,,
2.4000,2.4857,2.4429,0,0,0.000000e+00,,
2.4857,2.5714,2.5286,0,0,0.000000e+00,,
2.5714,2.6571,2.6143,0,0,0.000000e+00,,
2.6571,2.7429,2.7000,0,0,0.000000e+00,,
2.7429,2.8286,2.7857,0,0,0.000000e+00,,
2.8286,2.9143,2.8714,0,0,0.000000e+00,,
2.9143,3.0000,2.9571,0,0,0.000000e+00,,
