species,y_lo,y_hi,y_center,counts,value,error
Kplus,-2.0000,-1.9000,-1.9500,5.386100e+04,1.196911e+00,5.157327e-03
Kplus,-1.9000,-1.8000,-1.8500,5.958800e+04,1.324178e+00,5.424590e-03
Kplus,-1.8000,-1.7000,-1.7500,6.286400e+04,1.396978e+00,5.571710e-03
Kplus,-1.7000,-1.6000,-1.6500,6.505400e+04,1.445644e+00,5.667930e-03
Kplus,-1.6000,-1.5000,-1.5500,6.556900e+04,1.457089e+00,5.690321e-03
Kplus,-1.5000,-1.4000,-1.4500,6.423900e+04,1.427533e+00,5.632314e-03
Kplus,-1.4000,-1.3000,-1.3500,6.133600e+04,1.363022e+00,5.503579e-03
Kplus,-1.3000,-1.2000,-1.2500,5.659000e+04,1.257556e+00,5.286367e-03
Kplus,-1.2000,-1.1000,-1.1500,5.042900e+04,1.120644e+00,4.990312e-03
Kplus,-1.1000,-1.0000,-1.0500,4.378500e+04,9.730000e-01,4.649970e-03
Kplus,-1.0000,-0.9000,-0.9500,3.624300e+04,8.054000e-01,4.230577e-03
Kplus,-0.9000,-0.8000,-0.8500,2.846000e+04,6.324444e-01,3.748909e-03
Kplus,-0.8000,-0.7000,-0.7500,2.118200e+04,4.707111e-01,3.234230e-03
Kplus,-0.7000,-0.6000,-0.6500,1.505400e+04,3.345333e-01,2.726550e-03
Kplus,-0.6000,-0.5000,-0.5500,1.034000e+04,2.297778e-01,2.259684e-03
Kplus,-0.5000,-0.4000,-0.4500,6.772000e+03,1.504889e-01,1.828715e-03
Kplus,-0.4000,-0.3000,-0.3500,4.041000e+03,8.980000e-02,1.412641e-03
Kplus,-0.3000,-0.2000,-0.2500,2.356000e+03,5.235556e-02,1.078637e-03
Kplus,-0.2000,-0.1000,-0.1500,1.286000e+03,2.857778e-02,7.969076e-04
Kplus,-0.1000,0.0000,-0.0500,6.230000e+02,1.384444e-02,5.546660e-04
Kplus,0.0000,0.1000,0.0500,2.910000e+02,6.466667e-03,3.790827e-04
Kplus,0.1000,0.2000,0.1500,1.450000e+02,3.222222e-03,2.675910e-04
Kplus,0.2000,0.3000,0.2500,5.300000e+01,1.177778e-03,1.617802e-04
Kplus,0.3000,0.4000,0.3500,1.500000e+01,3.333333e-04,8.606630e-05
Kplus,0.4000,0.5000,0.4500,1.000000e+01,2.222222e-04,7.027284e-05
Kplus,0.5000,0.6000,0.5500,2.000000e+00,4.444444e-05,3.142697e-05
Kplus,0.6000,0.7000,0.6500,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,0.7000,0.8000,0.7500,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,0.8000,0.9000,0.8500,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,0.9000,1.0000,0.9500,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,1.0000,1.1000,1.0500,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,1.1000,1.2000,1.1500,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,1.2000,1.3000,1.2500,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,1.3000,1.4000,1.3500,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,1.4000,1.5000,1.4500,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,1.5000,1.6000,1.5500,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,1.6000,1.7000,1.6500,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,1.7000,1.8000,1.7500,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,1.8000,1.9000,1.8500,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,1.9000,2.0000,1.9500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,-2.0000,-1.9000,-1.9500,3.108000e+03,6.906667e-02,1.238876e-03
Kminus,-1.9000,-1.8000,-1.8500,3.370000e+03,7.488889e-02,1.290038e-03
Kminus,-1.8000,-1.7000,-1.7500,3.621000e+03,8.046667e-02,1.337217e-03
Kminus,-1.7000,-1.6000,-1.6500,3.919000e+03,8.708889e-02,1.391154e-03
Kminus,-1.6000,-1.5000,-1.5500,4.037000e+03,8.971111e-02,1.411942e-03
Kminus,-1.5000,-1.4000,-1.4500,3.944000e+03,8.764444e-02,1.395584e-03
Kminus,-1.4000,-1.3000,-1.3500,3.760000e+03,8.355556e-02,1.362641e-03
Kminus,-1.3000,-1.2000,-1.2500,3.466000e+03,7.702222e-02,1.308283e-03
Kminus,-1.2000,-1.1000,-1.1500,3.065000e+03,6.811111e-02,1.230276e-03
Kminus,-1.1000,-1.0000,-1.0500,2.657000e+03,5.904444e-02,1.145469e-03
Kminus,-1.0000,-0.9000,-0.9500,2.205000e+03,4.900000e-02,1.043498e-03
Kminus,-0.9000,-0.8000,-0.8500,1.737000e+03,3.860000e-02,9.261629e-04
Kminus,-0.8000,-0.7000,-0.7500,1.298000e+03,2.884444e-02,8.006170e-04
Kminus,-0.7000,-0.6000,-0.6500,9.300000e+02,2.066667e-02,6.776867e-04
Kminus,-0.6000,-0.5000,-0.5500,6.070000e+02,1.348889e-02,5.474971e-04
Kminus,-0.5000,-0.4000,-0.4500,4.380000e+02,9.733333e-03,4.650767e-04
Kminus,-0.4000,-0.3000,-0.3500,2.440000e+02,5.422222e-03,3.471222e-04
Kminus,-0.3000,-0.2000,-0.2500,1.220000e+02,2.711111e-03,2.454525e-04
Kminus,-0.2000,-0.1000,-0.1500,7.900000e+01,1.755556e-03,1.975154e-04
Kminus,-0.1000,0.0000,-0.0500,3.000000e+01,6.666667e-04,1.217161e-04
Kminus,0.0000,0.1000,0.0500,1.800000e+01,4.000000e-04,9.428090e-05
Kminus,0.1000,0.2000,0.1500,5.000000e+00,1.111111e-04,4.969040e-05
Kminus,0.2000,0.3000,0.2500,5.000000e+00,1.111111e-04,4.969040e-05
Kminus,0.3000,0.4000,0.3500,1.000000e+00,2.222222e-05,2.222222e-05
Kminus,0.4000,0.5000,0.4500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,0.5000,0.6000,0.5500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,0.6000,0.7000,0.6500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,0.7000,0.8000,0.7500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,0.8000,0.9000,0.8500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,0.9000,1.0000,0.9500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,1.0000,1.1000,1.0500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,1.1000,1.2000,1.1500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,1.2000,1.3000,1.2500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,1.3000,1.4000,1.3500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,1.4000,1.5000,1.4500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,1.5000,1.6000,1.5500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,1.6000,1.7000,1.6500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,1.7000,1.8000,1.7500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,1.8000,1.9000,1.8500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,1.9000,2.0000,1.9500,0.000000e+00,0.000000e+00,0.000000e+00
K0S,-2.0000,-1.9000,-1.9500,3.074600e+04,6.832444e-01,2.755287e-03
K0S,-1.9000,-1.8000,-1.8500,3.373550e+04,7.496778e-01,2.886131e-03
K0S,-1.8000,-1.7000,-1.7500,3.607100e+04,8.015778e-01,2.984363e-03
K0S,-1.7000,-1.6000,-1.6500,3.696950e+04,8.215444e-01,3.021303e-03
K0S,-1.6000,-1.5000,-1.5500,3.713200e+04,8.251556e-01,3.027936e-03
K0S,-1.5000,-1.4000,-1.4500,3.649250e+04,8.109444e-01,3.001748e-03
K0S,-1.4000,-1.3000,-1.3500,3.490950e+04,7.757667e-01,2.935921e-03
K0S,-1.3000,-1.2000,-1.2500,3.259150e+04,7.242556e-01,2.836774e-03
K0S,-1.2000,-1.1000,-1.1500,2.909450e+04,6.465444e-01,2.680266e-03
K0S,-1.1000,-1.0000,-1.0500,2.507350e+04,5.571889e-01,2.488170e-03
K0S,-1.0000,-0.9000,-0.9500,2.054550e+04,4.565667e-01,2.252324e-03
K0S,-0.9000,-0.8000,-0.8500,1.629050e+04,3.620111e-01,2.005579e-03
K0S,-0.8000,-0.7000,-0.7500,1.219600e+04,2.710222e-01,1.735326e-03
K0S,-0.7000,-0.6000,-0.6500,8.719000e+03,1.937556e-01,1.467256e-03
K0S,-0.6000,-0.5000,-0.5500,5.906500e+03,1.312556e-01,1.207640e-03
K0S,-0.5000,-0.4000,-0.4500,3.808500e+03,8.463333e-02,9.697270e-04
K0S,-0.4000,-0.3000,-0.3500,2.290500e+03,5.090000e-02,7.520343e-04
K0S,-0.3000,-0.2000,-0.2500,1.317000e+03,2.926667e-02,5.702501e-04
K0S,-0.2000,-0.1000,-0.1500,7.060000e+02,1.568889e-02,4.175176e-04
K0S,-0.1000,0.0000,-0.0500,3.645000e+02,8.100000e-03,3.000000e-04
K0S,0.0000,0.1000,0.0500,1.790000e+02,3.977778e-03,2.102321e-04
K0S,0.1000,0.2000,0.1500,7.150000e+01,1.588889e-03,1.328696e-04
K0S,0.2000,0.3000,0.2500,3.850000e+01,8.555556e-04,9.749960e-05
K0S,0.3000,0.4000,0.3500,8.500000e+00,1.888889e-04,4.581228e-05
K0S,0.4000,0.5000,0.4500,3.000000e+00,6.666667e-05,2.721655e-05
K0S,0.5000,0.6000,0.5500,2.500000e+00,5.555556e-05,2.484520e-05
K0S,0.6000,0.7000,0.6500,0.000000e+00,0.000000e+00,0.000000e+00
K0S,0.7000,0.8000,0.7500,0.000000e+00,0.000000e+00,0.000000e+00
K0S,0.8000,0.9000,0.8500,0.000000e+00,0.000000e+00,0.000000e+00
K0S,0.9000,1.0000,0.9500,0.000000e+00,0.000000e+00,0.000000e+00
K0S,1.0000,1.1000,1.0500,0.000000e+00,0.000000e+00,0.000000e+00
K0S,1.1000,1.2000,1.1500,0.000000e+00,0.000000e+00,0.000000e+00
K0S,1.2000,1.3000,1.2500,0.000000e+00,0.000000e+00,0.000000e+00
K0S,1.3000,1.4000,1.3500,0.000000e+00,0.000000e+00,0.000000e+00
K0S,1.4000,1.5000,1.4500,0.000000e+00,0.000000e+00,0.000000e+00
K0S,1.5000,1.6000,1.5500,0.000000e+00,0.000000e+00,0.000000e+00
K0S,1.6000,1.7000,1.6500,0.000000e+00,0.000000e+00,0.000000e+00
K0S,1.7000,1.8000,1.7500,0.000000e+00,0.000000e+00,0.000000e+00
K0S,1.8000,1.9000,1.8500,0.000000e+00,0.000000e+00,0.000000e+00
K0S,1.9000,2.0000,1.9500,0.000000e+00,0.000000e+00,0.000000e+00
KmeanCharged,-2.0000,-1.9000,-1.9500,2.848450e+04,6.329889e-01,2.652020e-03
KmeanCharged,-1.9000,-1.8000,-1.8500,3.147900e+04,6.995333e-01,2.787937e-03
KmeanCharged,-1.8000,-1.7000,-1.7500,3.324250e+04,7.387222e-01,2.864965e-03
KmeanCharged,-1.7000,-1.6000,-1.6500,3.448650e+04,7.663667e-01,2.918079e-03
KmeanCharged,-1.6000,-1.5000,-1.5500,3.480300e+04,7.734000e-01,2.931439e-03
KmeanCharged,-1.5000,-1.4000,-1.4500,3.409150e+04,7.575889e-01,2.901319e-03
KmeanCharged,-1.4000,-1.3000,-1.3500,3.254800e+04,7.232889e-01,2.834880e-03
KmeanCharged,-1.3000,-1.2000,-1.2500,3.002800e+04,6.672889e-01,2.722925e-03
KmeanCharged,-1.2000,-1.1000,-1.1500,2.674700e+04,5.943778e-01,2.569863e-03
