y_lo,y_hi,y_center,K+,K-,K0S,R_K,R_K_err
-3.0000,-2.9143,-2.9571,0,0,0.000000e+00,,
-2.9143,-2.8286,-2.8714,0,0,0.000000e+00,,
-2.8286,-2.7429,-2.7857,0,0,0.000000e+00,,
-2.7429,-2.6571,-2.7000,0,0,0.000000e+00,,
-2.6571,-2.5714,-2.6143,0,0,0.000000e+00,,
-2.5714,-2.4857,-2.5286,0,0,0.000000e+00,,
-2.4857,-2.4000,-2.4429,0,0,0.000000e+00,,
-2.4000,-2.3143,-2.3571,0,0,0.000000e+00,,
-2.3143,-2.2286,-2.2714,0,0,5.000000e-01,0.000000e+00,0.000000e+00
-2.2286,-2.1429,-2.1857,1,0,5.000000e-01,1.000000e+00,1.414214e+00
-2.1429,-2.0571,-2.1000,2,1,2.000000e+00,7.500000e-01,5.728220e-01
-2.0571,-1.9714,-2.0143,7,1,1.500000e+00,2.666667e+00,1.805342e+00
-1.9714,-1.8857,-1.9286,20,1,8.000000e+00,1.312500e+00,4.355425e-01
-1.8857,-1.8000,-1.8429,36,4,2.200000e+01,9.090909e-01,1.986052e-01
-1.8000,-1.7143,-1.7571,88,10,5.200000e+01,9.423077e-01,1.326596e-01
-1.7143,-1.6286,-1.6714,237,12,1.275000e+02,9.764706e-01,8.699708e-02
-1.6286,-1.5429,-1.5857,453,15,2.370000e+02,9.873418e-01,6.433997e-02
-1.5429,-1.4571,-1.5000,796,48,4.735000e+02,8.912355e-01,4.218850e-02
-1.4571,-1.3714,-1.4143,1374,82,8.180000e+02,8.899756e-01,3.206457e-02
-1.3714,-1.2857,-1.3286,2457,137,1.359000e+03,9.543782e-01,2.619629e-02
-1.2857,-1.2000,-1.2429,4012,212,2.240500e+03,9.426467e-01,2.021547e-02
-1.2000,-1.1143,-1.1571,6256,382,3.457500e+03,9.599422e-01,1.649484e-02
-1.1143,-1.0286,-1.0714,9501,588,5.330000e+03,9.464353e-01,1.314579e-02
-1.0286,-0.9429,-0.9857,13160,712,7.567500e+03,9.165510e-01,1.077326e-02
-0.9429,-0.8571,-0.9000,17694,1048,1.006600e+04,9.309557e-01,9.449465e-03
-0.8571,-0.7714,-0.8143,23371,1314,1.315700e+04,9.380938e-01,8.312221e-03
-0.7714,-0.6857,-0.7286,29499,1722,1.656950e+04,9.421226e-01,7.430573e-03
-0.6857,-0.6000,-0.6429,35767,2068,2.016350e+04,9.382052e-01,6.715074e-03
-0.6000,-0.5143,-0.5571,41830,2347,2.358650e+04,9.364891e-01,6.200292e-03
-0.5143,-0.4286,-0.4714,47025,2701,2.676150e+04,9.290585e-01,5.786607e-03
-0.4286,-0.3429,-0.3857,51929,3014,2.940300e+04,9.343094e-01,5.543672e-03
-0.3429,-0.2571,-0.3000,55772,3316,3.171800e+04,9.314585e-01,5.325453e-03
-0.2571,-0.1714,-0.2143,58746,3547,3.321250e+04,9.377945e-01,5.230485e-03
-0.1714,-0.0857,-0.1286,60269,3719,3.401950e+04,9.404606e-01,5.178974e-03
-0.0857,0.0000,-0.0429,60922,3631,3.436050e+04,9.393490e-01,5.148690e-03
0.0000,0.0857,0.0429,59775,3618,3.430100e+04,9.240693e-01,5.090896e-03
0.0857,0.1714,0.1286,58172,3557,3.277800e+04,9.416224e-01,5.280981e-03
0.1714,0.2571,0.2143,55657,3458,3.145550e+04,9.396608e-01,5.382514e-03
0.2571,0.3429,0.3000,51239,3123,2.900600e+04,9.370820e-01,5.593761e-03
0.3429,0.4286,0.3857,46187,2808,2.631200e+04,9.310391e-01,5.845041e-03
0.4286,0.5143,0.4714,40735,2602,2.316550e+04,9.353780e-01,6.250873e-03
0.5143,0.6000,0.5571,34605,2145,1.967250e+04,9.340450e-01,6.775985e-03
0.6000,0.6857,0.6429,28700,1793,1.625950e+04,9.376980e-01,7.474909e-03
0.6857,0.7714,0.7286,22740,1470,1.292000e+04,9.369195e-01,8.380321e-03
0.7714,0.8571,0.8143,17546,1071,9.901000e+03,9.401576e-01,9.597636e-03
0.8571,0.9429,0.9000,13107,809,7.305000e+03,9.524983e-01,1.128242e-02
0.9429,1.0286,0.9857,9124,584,5.207000e+03,9.322066e-01,1.315146e-02
1.0286,1.1143,1.0714,6104,380,3.579500e+03,9.057131e-01,1.552737e-02
1.1143,1.2000,1.1571,4107,246,2.336000e+03,9.317209e-01,1.962744e-02
1.2000,1.2857,1.2429,2681,165,1.496500e+03,9.508854e-01,2.489583e-02
1.2857,1.3714,1.3286,1538,87,8.685000e+02,9.355210e-01,3.228686e-02
1.3714,1.4571,1.4143,906,57,4.685000e+02,1.027748e+00,4.716073e-02
1.4571,1.5429,1.5000,499,22,2.925000e+02,8.905983e-01,5.364912e-02
1.5429,1.6286,1.5857,261,14,1.400000e+02,9.821429e-01,8.338267e-02
1.6286,1.7143,1.6714,113,6,6.450000e+01,9.224806e-01,1.172505e-01
1.7143,1.8000,1.7571,46,5,3.800000e+01,6.710526e-01,1.214693e-01
1.8000,1.8857,1.8429,17,2,1.150000e+01,8.260870e-01,2.561001e-01
1.8857,1.9714,1.9286,11,0,4.000000e+00,1.375000e+00,6.389078e-01
1.9714,2.0571,2.0143,3,0,1.500000e+00,1.000000e+00,8.164966e-01
2.0571,2.1429,2.1000,0,0,1.000000e+00,0.000000e+00,0.000000e+00
2.1429,2.2286,2.1857,0,0,0.000000e+00,,
2.2286,2.3143,2.2714,0,0,0.000000e+00,,
2.3143,2.4000,2.3571,0,0,0.000000e+00,,
2.4000,2.4857,2.4429,0,0,0.000000e+00,,
2.4857,2.5714,2.5286,0,0,0.000000e+00,,
2.5714,2.6571,2.6143,0,0,0.000000e+00,,
2.6571,2.7429,2.7000,0,0,0.000000e+00,,
2.7429,2.8286,2.7857,0,0,0.000000e+00,,
2.8286,2.9143,2.8714,0,0,0.000000e+00,,
2.9143,3.0000,2.9571,0,0,0.000000e+00,,
