y_lo,y_hi,y_center,K+,K-,K0S,R_K,R_K_err
-3.0000,-2.9143,-2.9571,245,77,1.835000e+02,8.773842e-01,6.699439e-02
-2.9143,-2.8286,-2.8714,540,146,3.735000e+02,9.183400e-01,4.856286e-02
-2.8286,-2.7429,-2.7857,1140,305,7.000000e+02,1.032143e+00,3.870642e-02
-2.7429,-2.6571,-2.7000,2232,525,1.349000e+03,1.021868e+00,2.767278e-02
-2.6571,-2.5714,-2.6143,3843,914,2.484500e+03,9.573355e-01,1.941915e-02
-2.5714,-2.4857,-2.5286,6672,1474,4.016500e+03,1.014067e+00,1.594525e-02
-2.4857,-2.4000,-2.4429,10522,2341,6.599000e+03,9.746174e-01,1.207548e-02
-2.4000,-2.3143,-2.3571,16333,3687,1.007450e+04,9.935977e-01,9.915105e-03
-2.3143,-2.2286,-2.2714,23559,5410,1.466950e+04,9.873888e-01,8.178297e-03
-2.2286,-2.1429,-2.1857,33366,8000,2.081350e+04,9.937300e-01,6.898900e-03
-2.1429,-2.0571,-2.1000,44849,11201,2.786900e+04,1.005598e+00,6.015314e-03
-2.0571,-1.9714,-2.0143,57912,15546,3.683800e+04,9.970411e-01,5.198607e-03
-1.9714,-1.8857,-1.9286,73946,20643,4.719600e+04,1.002087e+00,4.610273e-03
-1.8857,-1.8000,-1.8429,91771,26835,5.948550e+04,9.969320e-01,4.090664e-03
-1.8000,-1.7143,-1.7571,110600,34727,7.305100e+04,9.946955e-01,3.685151e-03
-1.7143,-1.6286,-1.6714,130592,43146,8.779000e+04,9.895091e-01,3.348462e-03
-1.6286,-1.5429,-1.5857,152723,53244,1.030765e+05,9.990978e-01,3.112621e-03
-1.5429,-1.4571,-1.5000,173253,63979,1.183580e+05,1.002180e+00,2.911458e-03
-1.4571,-1.3714,-1.4143,195072,75331,1.356725e+05,9.965284e-01,2.707832e-03
-1.3714,-1.2857,-1.3286,216252,87353,1.518845e+05,9.994601e-01,2.564882e-03
-1.2857,-1.2000,-1.2429,236270,99953,1.689170e+05,9.952314e-01,2.424415e-03
-1.2000,-1.1143,-1.1571,256091,113376,1.843455e+05,1.002105e+00,2.332753e-03
-1.1143,-1.0286,-1.0714,276309,126585,2.008610e+05,1.002917e+00,2.236152e-03
-1.0286,-0.9429,-0.9857,294460,139288,2.170525e+05,9.991776e-01,2.145110e-03
-0.9429,-0.8571,-0.9000,310927,151849,2.327365e+05,9.942059e-01,2.063839e-03
-0.8571,-0.7714,-0.8143,328832,164472,2.465155e+05,1.000554e+00,2.014922e-03
-0.7714,-0.6857,-0.7286,343649,176313,2.605495e+05,9.978181e-01,1.955886e-03
-0.6857,-0.6000,-0.6429,358476,188481,2.733425e+05,1.000498e+00,1.913412e-03
-0.6000,-0.5143,-0.5571,372886,197139,2.857520e+05,9.974121e-01,1.867074e-03
-0.5143,-0.4286,-0.4714,384662,207086,2.954170e+05,1.001547e+00,1.841984e-03
-0.4286,-0.3429,-0.3857,394328,214622,3.049410e+05,9.984718e-01,1.808814e-03
-0.3429,-0.2571,-0.3000,403394,220465,3.129880e+05,9.966181e-01,1.782925e-03
-0.2571,-0.1714,-0.2143,410474,225766,3.177770e+05,1.001079e+00,1.775375e-03
-0.1714,-0.0857,-0.1286,413305,229148,3.224440e+05,9.962242e-01,1.756067e-03
-0.0857,0.0000,-0.0429,415535,230625,3.228550e+05,1.000697e+00,1.760853e-03
0.0000,0.0857,0.0429,415654,230557,3.236050e+05,9.984565e-01,1.755858e-03
0.0857,0.1714,0.1286,413067,229439,3.221150e+05,9.973239e-01,1.758417e-03
0.1714,0.2571,0.2143,408836,226516,3.177730e+05,9.996948e-01,1.773544e-03
0.2571,0.3429,0.3000,401958,220648,3.122085e+05,9.970997e-01,1.785796e-03
0.3429,0.4286,0.3857,394795,214485,3.051355e+05,9.983761e-01,1.808108e-03
0.4286,0.5143,0.4714,385114,207026,2.946905e+05,1.004681e+00,1.848582e-03
0.5143,0.6000,0.5571,371949,197798,2.848635e+05,1.000035e+00,1.873670e-03
0.6000,0.6857,0.6429,358325,187240,2.734960e+05,9.973912e-01,1.908419e-03
0.6857,0.7714,0.7286,344250,176245,2.599670e+05,1.001079e+00,1.962873e-03
0.7714,0.8571,0.8143,328971,165007,2.465550e+05,1.001760e+00,2.016583e-03
0.8571,0.9429,0.9000,311217,151553,2.321010e+05,9.969151e-01,2.070882e-03
0.9429,1.0286,0.9857,294153,139105,2.168150e+05,9.991421e-01,2.146228e-03
1.0286,1.1143,1.0714,275120,125951,2.008080e+05,9.986430e-01,2.229293e-03
1.1143,1.2000,1.1571,256582,113492,1.846660e+05,1.002009e+00,2.330560e-03
1.2000,1.2857,1.2429,236454,99704,1.687180e+05,9.962126e-01,2.427637e-03
1.2857,1.3714,1.3286,215264,87642,1.515010e+05,9.996832e-01,2.568556e-03
1.3714,1.4571,1.4143,193826,74729,1.351095e+05,9.938420e-01,2.707984e-03
1.4571,1.5429,1.5000,173452,63672,1.184730e+05,1.000751e+00,2.906932e-03
1.5429,1.6286,1.5857,152731,53117,1.025770e+05,1.003383e+00,3.130223e-03
1.6286,1.7143,1.6714,131251,43102,8.722550e+04,9.994382e-01,3.384506e-03
1.7143,1.8000,1.7571,110820,34649,7.287800e+04,9.980310e-01,3.698792e-03
1.8000,1.8857,1.8429,91936,27104,5.938400e+04,1.002290e+00,4.110650e-03
1.8857,1.9714,1.9286,73630,20738,4.753450e+04,9.926264e-01,4.561276e-03
1.9714,2.0571,2.0143,58380,15570,3.703800e+04,9.982990e-01,5.189456e-03
2.0571,2.1429,2.1000,44463,11243,2.789400e+04,9.985301e-01,5.980886e-03
2.1429,2.2286,2.1857,32594,8001,2.065800e+04,9.825491e-01,6.866414e-03
2.2286,2.3143,2.2714,23467,5418,1.460950e+04,9.885691e-01,8.202404e-03
2.3143,2.4000,2.3571,16296,3528,1.009900e+04,9.814833e-01,9.812564e-03
2.4000,2.4857,2.4429,10582,2342,6.649000e+03,9.718755e-01,1.200472e-02
2.4857,2.5714,2.5286,6559,1468,4.135000e+03,9.706167e-01,1.520800e-02
2.5714,2.6571,2.6143,3965,876,2.355500e+03,1.027595e+00,2.103028e-02
2.6571,2.7429,2.7000,2206,500,1.378000e+03,9.818578e-01,2.657180e-02
2.7429,2.8286,2.7857,1091,267,7.385000e+02,9.194313e-01,3.456652e-02
2.8286,2.9143,2.8714,579,165,3.490000e+02,1.065903e+00,5.616761e-02
2.9143,3.0000,2.9571,308,70,1.780000e+02,1.061798e+00,7.841857e-02
