pt_lo,pt_hi,pt_center,K+,K-,K0S,R,R_err
0.0000,0.1000,0.0500,84412,54205,5.905850e+04,1.173557e+00,4.647093e-03
0.1000,0.2000,0.1500,228635,146945,1.592695e+05,1.179071e+00,2.840039e-03
0.2000,0.3000,0.2500,309272,200244,2.137800e+05,1.191683e+00,2.471557e-03
0.3000,0.4000,0.3500,323258,208334,2.203740e+05,1.206113e+00,2.457043e-03
0.4000,0.5000,0.4500,287716,180615,1.948440e+05,1.201810e+00,2.605850e-03
0.5000,0.6000,0.5500,231269,139788,1.548450e+05,1.198156e+00,2.916234e-03
0.6000,0.7000,0.6500,173513,102061,1.160195e+05,1.187619e+00,3.346139e-03
0.7000,0.8000,0.7500,124793,71010,8.332950e+04,1.174872e+00,3.915595e-03
0.8000,0.9000,0.8500,87490,48341,5.837200e+04,1.163494e+00,4.643471e-03
0.9000,1.0000,0.9500,60002,32326,4.008400e+04,1.151681e+00,5.559742e-03
1.0000,1.1000,1.0500,40902,21555,2.724150e+04,1.146358e+00,6.720175e-03
1.1000,1.2000,1.1500,28086,14405,1.858650e+04,1.143061e+00,8.117796e-03
1.2000,1.3000,1.2500,18815,9646,1.258900e+04,1.130392e+00,9.779881e-03
1.3000,1.4000,1.3500,12840,6315,8.486000e+03,1.128624e+00,1.189755e-02
1.4000,1.5000,1.4500,8666,4036,5.624500e+03,1.129167e+00,1.461931e-02
1.5000,1.6000,1.5500,5881,2658,3.733000e+03,1.143718e+00,1.812172e-02
1.6000,1.7000,1.6500,4038,1764,2.540000e+03,1.142126e+00,2.194561e-02
1.7000,1.8000,1.7500,2615,1194,1.689000e+03,1.127590e+00,2.664955e-02
1.8000,1.9000,1.8500,1958,809,1.113500e+03,1.242479e+00,3.537110e-02
1.9000,2.0000,1.9500,1312,523,8.055000e+02,1.139044e+00,3.888950e-02
2.0000,2.1000,2.0500,885,355,5.755000e+02,1.077324e+00,4.409483e-02
2.1000,2.2000,2.1500,562,264,3.590000e+02,1.150418e+00,5.869850e-02
2.2000,2.3000,2.2500,409,153,2.800000e+02,1.003571e+00,5.992148e-02
2.3000,2.4000,2.3500,312,86,1.740000e+02,1.143678e+00,8.393480e-02
2.4000,2.5000,2.4500,209,60,1.150000e+02,1.169565e+00,1.050351e-01
