y_lo,y_hi,y_center,KmeanCharged_value,KmeanCharged_err,TwoK0S_value,TwoK0S_err
-3.0000,-2.9143,-2.9571,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.9143,-2.8286,-2.8714,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.8286,-2.7429,-2.7857,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.7429,-2.6571,-2.7000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.6571,-2.5714,-2.6143,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.5714,-2.4857,-2.5286,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.4857,-2.4000,-2.4429,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.4000,-2.3143,-2.3571,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.3143,-2.2286,-2.2714,0.000000e+00,0.000000e+00,1.296296e-05,1.296296e-05
-2.2286,-2.1429,-2.1857,1.296296e-05,1.296296e-05,1.296296e-05,1.296296e-05
-2.1429,-2.0571,-2.1000,3.888889e-05,2.245251e-05,5.185185e-05,2.592593e-05
-2.0571,-1.9714,-2.0143,1.037037e-04,3.666480e-05,3.888889e-05,2.245251e-05
-1.9714,-1.8857,-1.9286,2.722222e-04,5.940376e-05,2.074074e-04,5.185185e-05
-1.8857,-1.8000,-1.8429,5.185185e-04,8.198498e-05,5.703704e-04,8.598657e-05
-1.8000,-1.7143,-1.7571,1.270370e-03,1.283268e-04,1.348148e-03,1.321968e-04
-1.7143,-1.6286,-1.6714,3.227778e-03,2.045521e-04,3.305556e-03,2.070019e-04
-1.6286,-1.5429,-1.5857,6.066667e-03,2.804318e-04,6.144444e-03,2.822237e-04
-1.5429,-1.4571,-1.5000,1.094074e-02,3.765958e-04,1.227593e-02,3.989140e-04
-1.4571,-1.3714,-1.4143,1.887407e-02,4.946351e-04,2.120741e-02,5.243194e-04
-1.3714,-1.2857,-1.3286,3.362593e-02,6.602209e-04,3.523333e-02,6.758168e-04
-1.2857,-1.2000,-1.2429,5.475556e-02,8.424929e-04,5.808704e-02,8.677443e-04
-1.2000,-1.1143,-1.1571,8.604815e-02,1.056143e-03,8.963889e-02,1.077954e-03
-1.1143,-1.0286,-1.0714,1.307833e-01,1.302052e-03,1.381852e-01,1.338391e-03
-1.0286,-0.9429,-0.9857,1.798222e-01,1.526771e-03,1.961944e-01,1.594761e-03
-0.9429,-0.8571,-0.9000,2.429519e-01,1.774648e-03,2.609704e-01,1.839280e-03
-0.8571,-0.7714,-0.8143,3.199907e-01,2.036671e-03,3.411074e-01,2.102799e-03
-0.7714,-0.6857,-0.7286,4.047167e-01,2.290486e-03,4.295796e-01,2.359793e-03
-0.6857,-0.6000,-0.6429,4.904537e-01,2.521455e-03,5.227574e-01,2.603168e-03
-0.6000,-0.5143,-0.5571,5.726648e-01,2.724598e-03,6.115019e-01,2.815471e-03
-0.5143,-0.4286,-0.4714,6.445963e-01,2.890654e-03,6.938167e-01,2.998986e-03
-0.4286,-0.3429,-0.3857,7.122241e-01,3.038509e-03,7.623000e-01,3.143512e-03
-0.3429,-0.2571,-0.3000,7.659556e-01,3.151040e-03,8.223185e-01,3.264917e-03
-0.2571,-0.1714,-0.2143,8.075019e-01,3.235370e-03,8.610648e-01,3.340951e-03
-0.1714,-0.0857,-0.1286,8.294741e-01,3.279092e-03,8.819870e-01,3.381296e-03
-0.0857,0.0000,-0.0429,8.367981e-01,3.293537e-03,8.908278e-01,3.398201e-03
0.0000,0.0857,0.0429,8.217611e-01,3.263810e-03,8.892852e-01,3.395257e-03
0.0857,0.1714,0.1286,8.001907e-01,3.220690e-03,8.498000e-01,3.319025e-03
0.1714,0.2571,0.2143,7.663056e-01,3.151760e-03,8.155130e-01,3.251379e-03
0.2571,0.3429,0.3000,7.046926e-01,3.022400e-03,7.520074e-01,3.122218e-03
0.3429,0.4286,0.3857,6.351204e-01,2.869328e-03,6.821630e-01,2.973694e-03
0.4286,0.5143,0.4714,5.617759e-01,2.698570e-03,6.005870e-01,2.790231e-03
0.5143,0.6000,0.5571,4.763889e-01,2.485038e-03,5.100278e-01,2.571278e-03
0.6000,0.6857,0.6429,3.952796e-01,2.263624e-03,4.215426e-01,2.337614e-03
0.6857,0.7714,0.7286,3.138333e-01,2.016980e-03,3.349630e-01,2.083774e-03
0.7714,0.8571,0.8143,2.413315e-01,1.768720e-03,2.566926e-01,1.824143e-03
0.8571,0.9429,0.9000,1.803926e-01,1.529190e-03,1.893889e-01,1.566857e-03
